#Mon,#Tue,#Wed,#Tur,#Fri,#Sat,#Sun,#post,#visitors
0,0,0,0,0,0,1,68,8664255
1,0,0,0,0,0,0,71,8160118
0,1,0,0,0,0,0,80,7508212
0,0,1,0,0,0,0,72,7850999
0,0,0,1,0,0,0,81,6950390
0,0,0,0,1,0,0,77,7396630
0,0,0,0,0,1,0,83,7464889
0,0,0,0,0,0,1,87,8345901
1,0,0,0,0,0,0,84,8878049
0,1,0,0,0,0,0,80,8006581
0,0,1,0,0,0,0,77,7207515
0,0,0,1,0,0,0,79,7956625
0,0,0,0,1,0,0,69,6592691
0,0,0,0,0,1,0,80,7385595
0,0,0,0,0,0,1,74,8382342
1,0,0,0,0,0,0,77,7943803
0,1,0,0,0,0,0,72,7787992
0,0,1,0,0,0,0,90,9963592
0,0,0,1,0,0,0,76,9643822
0,0,0,0,1,0,0,81,7963491
0,0,0,0,0,1,0,79,7927803
0,0,0,0,0,0,1,78,9062664
1,0,0,0,0,0,0,74,8490346
0,1,0,0,0,0,0,83,7954833
0,0,1,0,0,0,0,77,7787325
0,0,0,1,0,0,0,81,7500670
0,0,0,0,1,0,0,84,7824019
0,0,0,0,0,1,0,70,8939386
0,0,0,0,0,0,1,71,9216770
1,0,0,0,0,0,0,84,8865645
0,1,0,0,0,0,0,81,9532541
0,0,1,0,0,0,0,81,8104832
0,0,0,1,0,0,0,90,7451348
0,0,0,0,1,0,0,86,7740234
0,0,0,0,0,1,0,79,7744557
0,0,0,0,0,0,1,69,8455236
1,0,0,0,0,0,0,85,7935593
0,1,0,0,0,0,0,96,7981058
0,0,1,0,0,0,0,100,9137459
0,0,0,1,0,0,0,86,9445158
0,0,0,0,1,0,0,86,9550604
0,0,0,0,0,1,0,74,8622947
0,0,0,0,0,0,1,80,8741154
1,0,0,0,0,0,0,90,9063972
0,1,0,0,0,0,0,82,9899975
0,0,1,0,0,0,0,88,8324665
0,0,0,1,0,0,0,95,9383603
0,0,0,0,1,0,0,93,8704526
0,0,0,0,0,1,0,80,8734879
0,0,0,0,0,0,1,87,8686280
1,0,0,0,0,0,0,93,8858627
0,1,0,0,0,0,0,98,7698767
0,0,1,0,0,0,0,90,10011987
0,0,0,1,0,0,0,96,11352368
0,0,0,0,1,0,0,84,11008820
0,0,0,0,0,1,0,73,10322372
0,0,0,0,0,0,1,91,11100251
1,0,0,0,0,0,0,83,12730068
0,1,0,0,0,0,0,93,11553092
0,0,1,0,0,0,0,88,11223840
0,0,0,1,0,0,0,88,9905034
0,0,0,0,1,0,0,92,10808104
0,0,0,0,0,1,0,83,10440668
0,0,0,0,0,0,1,102,10441935
1,0,0,0,0,0,0,83,12961777
0,1,0,0,0,0,0,89,10372626
0,0,1,0,0,0,0,85,8940465
0,0,0,1,0,0,0,89,11105987
0,0,0,0,1,0,0,82,9728325
0,0,0,0,0,1,0,70,10989748
0,0,0,0,0,0,1,84,11634607
1,0,0,0,0,0,0,89,11233780
0,1,0,0,0,0,0,86,12509344
0,0,1,0,0,0,0,87,9897550
0,0,0,1,0,0,0,92,10455045
0,0,0,0,1,0,0,84,10657226
0,0,0,0,0,1,0,73,9547478
0,0,0,0,0,0,1,82,9469141
1,0,0,0,0,0,0,88,9211736
0,1,0,0,0,0,0,95,10382678
0,0,1,0,0,0,0,97,10745533
0,0,0,1,0,0,0,103,9508862
0,0,0,0,1,0,0,95,8598692
0,0,0,0,0,1,0,64,10454289
0,0,0,0,0,0,1,89,9501770
1,0,0,0,0,0,0,87,10429847
0,1,0,0,0,0,0,90,11934115
0,0,1,0,0,0,0,91,10926620
0,0,0,1,0,0,0,88,13337473
0,0,0,0,1,0,0,74,12494423
0,0,0,0,0,1,0,61,11417036
0,0,0,0,0,0,1,82,10519603
1,0,0,0,0,0,0,89,11591171
0,1,0,0,0,0,0,99,12521805
0,0,1,0,0,0,0,98,13007966
0,0,0,1,0,0,0,102,13188390
0,0,0,0,1,0,0,93,12145458
0,0,0,0,0,1,0,76,10450604
0,0,0,0,0,0,1,68,10670730
1,0,0,0,0,0,0,84,11505410
0,1,0,0,0,0,0,89,11915815
0,0,1,0,0,0,0,93,12134997
0,0,0,1,0,0,0,79,11618962
0,0,0,0,1,0,0,80,12079048
0,0,0,0,0,1,0,71,12697284
0,0,0,0,0,0,1,78,12680451
1,0,0,0,0,0,0,89,15242108
0,1,0,0,0,0,0,90,14625731
0,0,1,0,0,0,0,82,12499722
0,0,0,1,0,0,0,83,13738668
0,0,0,0,1,0,0,68,14801750
0,0,0,0,0,1,0,72,14527814
0,0,0,0,0,0,1,85,13790766
1,0,0,0,0,0,0,73,15250416
0,1,0,0,0,0,0,76,13725386
0,0,1,0,0,0,0,70,12455387
0,0,0,1,0,0,0,86,11309971
0,0,0,0,1,0,0,63,11094009
0,0,0,0,0,1,0,67,9725389
0,0,0,0,0,0,1,70,9627500
1,0,0,0,0,0,0,82,10143857
0,1,0,0,0,0,0,80,10567318
0,0,1,0,0,0,0,81,10317996
0,0,0,1,0,0,0,84,11241115
0,0,0,0,1,0,0,71,11745929
0,0,0,0,0,1,0,77,10322757
0,0,0,0,0,0,1,78,8655574
1,0,0,0,0,0,0,74,9321426
0,1,0,0,0,0,0,83,11907193
0,0,1,0,0,0,0,72,14705229
0,0,0,1,0,0,0,78,10763490
0,0,0,0,1,0,0,66,10522846
0,0,0,0,0,1,0,77,9575428
0,0,0,0,0,0,1,78,9708274
1,0,0,0,0,0,0,71,10574628
0,1,0,0,0,0,0,66,12320833
0,0,1,0,0,0,0,76,11687222
0,0,0,1,0,0,0,67,11022629
0,0,0,0,1,0,0,61,10368105
0,0,0,0,0,1,0,70,9922517
0,0,0,0,0,0,1,72,10388562
1,0,0,0,0,0,0,79,9646466
0,1,0,0,0,0,0,78,9143190
0,0,1,0,0,0,0,74,8359429
0,0,0,1,0,0,0,70,8449590
0,0,0,0,1,0,0,75,7661107
0,0,0,0,0,1,0,66,8242725
0,0,0,0,0,0,1,86,9254495
